2015 rank,City,State,2010 Census,2014 land area,Location
81,Irvine,California,212375,66.1 sq mi,33.6784°N 117.7713°W
82,Laredo,Texas,236091,88.9 sq mi,27.5477°N 99.4869°W
83,Lubbock,Texas,229573,122.4 sq mi,33.5665°N 101.8867°W
84,Madison,Wisconsin,233209,76.8 sq mi,43.0878°N 89.4301°W
85,Gilbert,Arizona,208453,68.0 sq mi,33.3102°N 111.7422°W
86,Norfolk,Virginia,242803,54.1 sq mi,36.9230°N 76.2446°W
87,Reno,Nevada,225221,103.0 sq mi,39.4745°N 119.7765°W
88,Winston–Salem,North Carolina,229617,132.4 sq mi,36.1033°N 80.2606°W
89,Glendale,Arizona,226721,60.0 sq mi,33.5331°N 112.1899°W
90,Hialeah,Florida,224669,21.5 sq mi,25.8699°N 80.3029°W
91,Garland,Texas,226876,57.1 sq mi,32.9098°N 96.6304°W
92,Scottsdale,Arizona,217385,183.9 sq mi,33.6687°N 111.8237°W
93,Irving,Texas,216290,67.0 sq mi,32.8577°N 96.9700°W
94,Chesapeake,Virginia,222209,340.8 sq mi,36.6794°N 76.3018°W
95,North Las Vegas,Nevada,216961,101.3 sq mi,36.2830°N 115.0893°W
96,Fremont,California,214089,77.5 sq mi,37.4944°N 121.9411°W
97,Baton Rouge,Louisiana,229493,76.9 sq mi,30.4485°N 91.1259°W
98,Richmond,Virginia,204214,59.8 sq mi,37.5314°N 77.4760°W
99,Boise,Idaho,205671,79.4 sq mi,43.5985°N 116.2311°W
100,San Bernardino,California,209924,59.2 sq mi,34.1393°N 117.2953°W
101,Spokane,Washington,208916,59.2 sq mi,47.6736°N 117.4166°W
102,Birmingham,Alabama,212237,146.1 sq mi,33.5274°N 86.7990°W
103,Modesto,California,201165,36.9 sq mi,37.6609°N 120.9891°W
104,Des Moines,Iowa,203433,80.9 sq mi,41.5739°N 93.6167°W
105,Rochester,New York,210565,35.8 sq mi,43.1699°N 77.6169°W
106,Tacoma,Washington,198397,49.7 sq mi,47.2522°N 122.4598°W
107,Fontana,California,196069,42.4 sq mi,34.1088°N 117.4627°W
108,Oxnard,California,197899,26.9 sq mi,34.2023°N 119.2046°W
109,Moreno Valley,California,193365,51.3 sq mi,33.9233°N 117.2057°W
110,Fayetteville,North Carolina,200564,145.8 sq mi,35.0851°N 78.9803°W
111,Huntington Beach,California,189992,26.7 sq mi,33.6906°N 118.0093°W
112,Yonkers,New York,195976,18.0 sq mi,40.9459°N 73.8674°W
113,Glendale,California,191719,30.5 sq mi,34.1814°N 118.2458°W
114,Aurora,Illinois,197899,44.9 sq mi,41.7635°N 88.2901°W
115,Montgomery,Alabama,205764,159.6 sq mi,32.3463°N 86.2686°W
116,Columbus,Georgia,189885,216.4 sq mi,32.5102°N 84.8749°W
117,Amarillo,Texas,190695,99.5 sq mi,35.1978°N 101.8287°W
118,Little Rock,Arkansas,193524,119.2 sq mi,34.7254°N 92.3586°W
119,Akron,Ohio,199110,62.0 sq mi,41.0805°N 81.5214°W
120,Shreveport,Louisiana,199311,105.4 sq mi,32.4670°N 93.7927°W
121,Augusta,Georgia,195844,302.5 sq mi,33.3655°N 82.0734°W
122,Grand Rapids,Michigan,188040,44.4 sq mi,42.9612°N 85.6556°W
123,Mobile,Alabama,195111,139.1 sq mi,30.6684°N 88.1002°W
124,Salt Lake City,Utah,186440,111.1 sq mi,40.7785°N 111.9314°W
125,Huntsville,Alabama,180105,209.1 sq mi,34.7843°N 86.5390°W
126,Tallahassee,Florida,181376,100.2 sq mi,30.4551°N 84.2534°W
127,Grand Prairie,Texas,175396,72.1 sq mi,32.6842°N 97.0210°W
128,Overland Park,Kansas,173372,74.8 sq mi,38.8890°N 94.6906°W
129,Knoxville,Tennessee,178874,98.5 sq mi,35.9709°N 83.9465°W
130,Worcester,Massachusetts,181045,37.4 sq mi,42.2695°N 71.8078°W
131,Brownsville,Texas,175023,132.3 sq mi,26.0183°N 97.4538°W
132,Newport News,Virginia,180719,68.7 sq mi,37.0760°N 76.5217°W
133,Santa Clarita,California,176320,52.7 sq mi,34.4049°N 118.5047°W
134,Port St. Lucie,Florida,164603,114.0 sq mi,27.2810°N 80.3838°W
135,Providence,Rhode Island,178042,18.4 sq mi,41.8231°N 71.4188°W
136,Fort Lauderdale,Florida,165521,34.8 sq mi,26.1413°N 80.1439°W
137,Chattanooga,Tennessee,167674,137.2 sq mi,35.0665°N 85.2471°W
138,Tempe,Arizona,161719,39.9 sq mi,33.3884°N 111.9318°W
139,Oceanside,California,167086,41.2 sq mi,33.2246°N 117.3062°W
140,Garden Grove,California,170883,17.9 sq mi,33.7788°N 117.9605°W
141,Rancho Cucamonga,California,165269,39.9 sq mi,34.1233°N 117.5642°W
142,Cape Coral,Florida,154305,105.7 sq mi,26.6431°N 81.9973°W
143,Santa Rosa,California,167815,41.3 sq mi,38.4468°N 122.7061°W
144,Vancouver,Washington,161791,46.5 sq mi,45.6372°N 122.5965°W
145,Sioux Falls,South Dakota,153888,73.0 sq mi,43.5383°N 96.7320°W
146,Peoria,Arizona,154065,174.4 sq mi,33.7877°N 112.3111°W
147,Ontario,California,163924,49.9 sq mi,34.0395°N 117.6088°W
148,Jackson,Mississippi,173514,111.0 sq mi,32.3158°N 90.2128°W
149,Elk Grove,California,153015,42.2 sq mi,38.4144°N 121.3849°W
150,Springfield,Missouri,159498,81.7 sq mi,37.1942°N 93.2913°W
151,Pembroke Pines,Florida,154019,33.1 sq mi,26.0212°N 80.3404°W
152,Salem,Oregon,154637,47.9 sq mi,44.9237°N 123.0231°W
153,Corona,California,152374,38.8 sq mi,33.8624°N 117.5639°W
154,Eugene,Oregon,156185,43.7 sq mi,44.0567°N 123.1162°W
155,McKinney,Texas,131117,62.2 sq mi,33.2012°N 96.6680°W
156,Fort Collins,Colorado,143986,54.3 sq mi,40.5482°N 105.0648°W
157,Lancaster,California,156633,94.3 sq mi,34.6936°N 118.1753°W
158,Cary,North Carolina,135234,54.3 sq mi,35.7821°N 78.8141°W
159,Palmdale,California,152750,106.0 sq mi,34.5913°N 118.1090°W
160,Hayward,California,144186,45.3 sq mi,37.6281°N 122.1063°W
161,Salinas,California,150441,23.2 sq mi,36.6902°N 121.6337°W
162,Frisco,Texas,116989,61.8 sq mi,33.1510°N 96.8193°W
163,Springfield,Massachusetts,153060,31.9 sq mi,42.1155°N 72.5400°W
164,Pasadena,Texas,149043,42.8 sq mi,29.6583°N 95.1505°W
165,Macon,Georgia,91351,255.1 sq mi,32.505°N 83.396°W
166,Alexandria,Virginia,139966,15.0 sq mi,38.8183°N 77.0820°W
167,Pomona,California,149058,23.0 sq mi,34.0586°N 117.7613°W
168,Lakewood,Colorado,142980,42.9 sq mi,39.6989°N 105.1176°W
169,Sunnyvale,California,140081,22.0 sq mi,37.3858°N 122.0263°W
170,Escondido,California,143911,36.8 sq mi,33.1336°N 117.0732°W
171,Kansas City,Kansas,145786,124.8 sq mi,39.1225°N 94.7418°W
172,Hollywood,Florida,140768,27.4 sq mi,26.0311°N 80.1646°W
173,Clarksville,Tennessee,132929,97.6 sq mi,36.5664°N 87.3452°W
174,Torrance,California,145438,20.5 sq mi,33.8350°N 118.3414°W
175,Rockford,Illinois,152871,61.1 sq mi,42.2634°N 89.0628°W
176,Joliet,Illinois,147433,62.1 sq mi,41.5181°N 88.1584°W
177,Paterson,New Jersey,146199,8.4 sq mi,40.9147°N 74.1628°W
178,Bridgeport,Connecticut,144229,16.0 sq mi,41.1874°N 73.1957°W
179,Naperville,Illinois,141853,38.8 sq mi,41.7492°N 88.1620°W
180,Savannah,Georgia,136286,103.2 sq mi,32.0025°N 81.1536°W
181,Mesquite,Texas,139824,46.0 sq mi,32.7639°N 96.5924°W
182,Syracuse,New York,145170,25.0 sq mi,43.0410°N 76.1436°W
183,Pasadena,California,137122,23.0 sq mi,34.1606°N 118.1396°W
184,Orange,California,136416,24.8 sq mi,33.8048°N 117.8249°W
185,Fullerton,California,135161,22.4 sq mi,33.8857°N 117.9280°W
186,Killeen,Texas,127921,53.6 sq mi,31.0777°N 97.7320°W
187,Dayton,Ohio,141527,55.7 sq mi,39.7774°N 84.1996°W
188,McAllen,Texas,129877,48.3 sq mi,26.2185°N 98.2461°W
189,Bellevue,Washington,122363,32.0 sq mi,47.5978°N 122.1565°W
190,Miramar,Florida,122041,29.5 sq mi,25.9770°N 80.3358°W
191,Hampton,Virginia,137436,51.4 sq mi,37.0480°N 76.2971°W
192,West Valley City,Utah,129480,35.6 sq mi,40.6885°N 112.0118°W
193,Warren,Michigan,134056,34.4 sq mi,42.4929°N 83.0250°W
194,Olathe,Kansas,125872,59.7 sq mi,38.8843°N 94.8188°W
195,Columbia,South Carolina,129272,132.2 sq mi,34.0298°N 80.8966°W
196,Thornton,Colorado,118772,34.8 sq mi,39.9180°N 104.9454°W
197,Carrollton,Texas,119097,36.3 sq mi,32.9884°N 96.8998°W
198,Midland,Texas,111147,72.1 sq mi,32.0299°N 102.1097°W
199,Charleston,South Carolina,120083,109.0 sq mi,32.8179°N 79.9589°W
